X,Y,Time_Delta,Velocity_X,Velocity_Y,Acceleration_X,Acceleration_Y,Angular_Change,Distance
0.6680841305649443,0.21501968076083283,7.250726809324842e-11,0.4999734919713455,0.498126526662439,0.5113348179142597,0.5015111699039323,0.705440660404923,0.0
0.6449388321193165,0.2410287271667763,7.250726809324842e-11,0.4881756033805751,0.5117796079711271,0.5052563362984449,0.5083840952583963,0.705440660404923,0.02464114750872346
0.6125497925387413,0.2699329860372079,7.250726912324049e-11,0.4834637769883503,0.5132994088345124,0.508907201321537,0.5022762336760971,0.5077798158928081,0.03263250440962663
0.5962846409401062,0.282947282461984,7.250726912324049e-11,0.49168263121949657,0.5049581976314381,0.5155693174997336,0.49731222604148945,0.5033233992071402,0.016064332998214373
0.5772923983696961,0.29490301826770604,7.250726928587081e-11,0.49029254694223046,0.5044025211957647,0.5106186218204599,0.5012314438423005,0.506512410583809,0.018152847144020018
0.5770130721320783,0.29678790220729223,7.250726912324049e-11,0.4998311105784403,0.49911596984628176,0.5162492552102127,0.49884993380740245,0.4224827134358865,0.00098232575830747
0.5767547885060114,0.29635061041073074,7.250726912324049e-11,0.4998418366612048,0.4978969765143524,0.5113403441824892,0.5008975318548708,0.16448713286553762,0.00032056122050460494
0.5767557330621408,0.2963456228270901,7.250726912324049e-11,0.49997397344139477,0.4981239085008995,0.5114028971288563,0.501625406871311,0.5907270142322032,2.652868245798155e-06
0.5767563102908866,0.29634784892374333,7.250726879797983e-11,0.4999737862030423,0.4981276952204143,0.511334721445737,0.5015130761286134,0.6894579942840757,1.2362694042063301e-06
0.5767553657347572,0.2963160448593229,7.250726912324049e-11,0.4999730105012962,0.4981098315683282,0.5113344182589513,0.5015021773882818,0.28023398385767406,1.6043573028354512e-05
0.5902585302601676,0.31455555369786586,7.250726912324049e-11,0.5068564808024413,0.5077010990368516,0.5148813039957819,0.5063393888147735,0.6807126904550473,0.0152531235664271
0.5771712328084225,0.34683632215770194,7.250726912324049e-11,0.49330248370361124,0.5150718598211494,0.504351558023969,0.5052215915685169,0.623530833063237,0.02009158842795726
0.5613119779687531,0.3711975310427769,7.250726852692929e-11,0.4918895295990046,0.5109145989544649,0.5106068388794721,0.49941841567726736,0.5185836969484973,0.018843505936231
